Sample	TotalReads	UnmappedReads	UnmappedPerc	UniqueReads	UniquePerc	MultimapReads	MultiPerc	TotalMappedReads	DupReadFraction	NonRedundantMappedReads
113446P2	21051861	2771493	13.17	17096035	81.21	1184333	5.63	18280368	0.469516	9697443
113446P4	19284517	2264132	11.74	15692778	81.38	1327607	6.88	17020385	0.469226	9033978
113446SC	17665208	2073351	11.74	14450269	81.8	1141588	6.46	15591857	0.47558	8176682
114152P2	20840509	2703335	12.97	17009783	81.62	1127391	5.41	18137174	0.466286	9680064
114152P4_Reseq	35000000	2430659	6.94	30326112	86.65	2243229	6.41	32569341	0.375106	20352386
114152SCregen	35000000	3363035	9.61	28826850	82.36	2810115	8.03	31636965	0.552561	14155612
115585P2regen	35000000	3860545	11.03	27062387	77.32	4077068	11.65	31139455	0.761936	7413183
115585P6	20573160	2327531	11.31	16922825	82.26	1322804	6.43	18245629	0.481642	9457768
115585SCregen	35000000	2384460	6.81	29970736	85.63	2644804	7.56	32615540	0.427196	18682312
116467P2	19286177	2573856	13.35	15616488	80.97	1095833	5.68	16712321	0.396527	10085434
116467P4	20307433	2775426	13.67	16353798	80.53	1178209	5.8	17532007	0.43639	9881214
116467SC	21193657	2455745	11.59	17550409	82.81	1187503	5.6	18737912	0.598124	7530317
116920P4	20176218	3012321	14.93	16075259	79.67	1088638	5.4	17163897	0.619348	6533472
116920P6	19510694	2850441	14.61	15502063	79.45	1158190	5.94	16660253	0.42899	9513171
116920SC	19178635	2547812	13.28	15300637	79.78	1330186	6.94	16630823	0.507242	8194971
117494P2_Reseq	35000000	2879198	8.23	29183830	83.38	2936972	8.39	32120802	0.52604	15223975
117494P4	29086165	3636947	12.5	23706161	81.5	1743057	5.99	25449218	0.502247	12667425
117494P6	18734333	2291698	12.23	15207228	81.17	1235407	6.59	16442635	0.523341	7837530
117494SC	22640342	2947579	13.02	18420428	81.36	1272335	5.62	19692763	0.451645	10798625
117593SCregen	35000000	2514421	7.18	30118300	86.05	2367279	6.76	32485579	0.361406	20745096
118877ET_Reseq	35000000	2906512	8.3	30105656	86.02	1987832	5.68	32093488	0.282076	23040685
118877SC_down35mil	35000000	2996919	8.56	29484148	84.24	2518933	7.2	32003081	0.140909	27493559
119325P2	26375686	2812888	10.66	22088299	83.74	1474499	5.59	23562798	0.620111	8951248
119325SC_Reseq	35000000	2585511	7.39	29861375	85.32	2553114	7.29	32414489	0.404602	19299522
119837P2	30668865	2308997	7.53	26415942	86.13	1943926	6.34	28359868	0.764271	6685243
119837P4	20946470	2456561	11.73	17108351	81.68	1381558	6.6	18489909	0.37931	11476502
119837SC	24257865	2728836	11.25	19901157	82.04	1627872	6.71	21529029	0.443372	11983660
119882P6regen	35000000	2347430	6.71	30353439	86.72	2299131	6.57	32652570	0.333347	21767934
119882SCregen	35000000	2239258	6.4	30607748	87.45	2152994	6.15	32760742	0.336556	21734918
121015P2	20107681	2383134	11.85	16539360	82.25	1185187	5.89	17724547	0.370295	11161236
121015P4	26049620	2991966	11.49	21672121	83.2	1385533	5.32	23057654	0.391315	14034848
121015SC_Reseq	35000000	2619064	7.48	30301070	86.57	2079866	5.94	32380936	0.275553	23458272
121194SCregen	35000000	2385090	6.81	30314794	86.61	2300116	6.57	32614910	0.430972	18558797
121350SC_Reseq	35000000	2337453	6.68	30642600	87.55	2019947	5.77	32662547	0.391134	19887114
121474ET_down35mil	35000000	3181221	9.09	29393726	83.98	2425053	6.93	31818779	0.144994	27205247
121474SC_Reseq	35000000	2730941	7.8	30297726	86.56	1971333	5.63	32269059	0.21445	25348959
121535P2	36005810	3520330	9.78	30621037	85.04	1864443	5.18	32485480	0.553194	14514707
121535P4	21380993	2526434	11.82	17565682	82.16	1288877	6.03	18854559	0.487045	9671540
121535SC	22023766	2477587	11.25	18200051	82.64	1346128	6.11	19546179	0.407452	11582049
121589P2	32286347	3762302	11.65	26811485	83.04	1712560	5.3	28524045	0.394226	17279125
121589SC	21230818	2521561	11.88	17113447	80.61	1595810	7.52	18709257	0.329094	12552153
122739P2regen	35000000	2214803	6.33	30827289	88.08	1957908	5.59	32785197	0.34412	21503155
122739SCregen	35000000	2278616	6.51	30850805	88.15	1870579	5.34	32721384	0.364445	20796239
122976SCregen	35000000	2124860	6.07	30815260	88.04	2059880	5.89	32875140	0.346135	21495903
24780SC_Reseq	35000000	2834923	8.1	30142800	86.12	2022277	5.78	32165077	0.74319	8260313
PTHEHC01	35000000	6389823	18.26	23516200	67.19	5093977	14.55	28610177	0.334155	19049943
PTHEHC02	35000000	5933612	16.95	25362392	72.46	3703996	10.58	29066388	0.268415	21264533
PTHEHC03	35000000	5946411	16.99	24731548	70.66	4322041	12.35	29053589	0.35385	18772977
PTHEHC04	35000000	5752986	16.44	25433145	72.67	3813869	10.9	29247014	0.376763	18227821
PTHEHC05	35000000	7061323	20.18	24168673	69.05	3770004	10.77	27938677	0.316254	19102959
PTHEHC06	35000000	6938784	19.83	23238395	66.4	4822821	13.78	28061216	0.371406	17639112
PTHRK5	35000000	6152698	17.58	23331103	66.66	5516199	15.76	28847302	0.461361	15538282
PTHRK7	35000000	6673553	19.07	22441151	64.12	5885296	16.82	28326447	0.445745	15700075
118075SCregen	35000000	2254370	6.44	30615276	87.47	2130354	6.09	32745630	0.354359	11603709
