Cluster	Specific	Specific2
0	CD4	CD4 TCM
1	CD4	CD4 naive
10	CD4	CD4 TCM
11	CD4	CD4 TCM
12	MAIT	MAIT
13	CD4	CD4 naive
14	CD8	CD8 TEM
15	CD4	CD4 naive
16	CD4	CD4 TCM
17	NK	CD56dim NK
18	CD8	CD8 TEMRA
19	CD4	CD4 naive
2	CD4	CD4 naive
20	CD4	CD4 Treg
21	gdT	Vd2 gdT
22	CD4	CD4 naive
23	gdT	Vd1 gdT
24	CD8	CD8 TEMRA
25	CD4	CD4 naive
26	CD4	CD4 TCM
27	gdT	Vd1 gdT
28	CD8	CD8 TEM
29	NK	CD56bright NK
3	NK	CD56dim NK
30	CD8	CD8 naive
31	CD8	CD8 TEM
32	CD4	CD4 CTL
33	CD4	CD4 TCM
34	CD4	CD4 naive
35	CD8	CD8 TCM
36	CD4	CD4 TCM
37	NK	CD56dim NK
38	CD4	CD4 TCM
39	CD8	CD8 TEM
4	NK	CD56dim NK
40	CD8	CD8 TEMRA
41	CD4	CD4 TCM
42	CD4	CD4 naive
43	CD8	CD8 TEM
44	NK	CD56dim NK
45	CD4	CD4 naive
46	NK	CD56dim NK
47	CD4	CD4 TCM
48	CD8	CD8 TEMRA
49	CD8	CD8 TEMRA
5	CD4	CD4 TCM
50	gdT	Vd1 gdT
51	Differentiating Stem Cell	Differentiating Stem Cell
52	CD4	CD4 naive
53	CD4	CD4 TCM
54	CD4	CD4 TCM
55	NK	CD56bright NK
56	CD8	CD8 TEMRA
57	CD4	CD4 TCM
58	CD8	CD8 TEMRA
59	CD4	CD4 TCM
6	CD4	CD4 TCM
60	CD4	CD4 CTL
61	CD4	CD4 TCM
62	CD8	CD8 TCM
63	CD4	CD4 naive
64	CD8	CD8 TEMRA
65	Differentiating Stem Cell	Differentiating Stem Cell
66	CD4	CD4 naive
67	CD8	CD8 TEM
68	CD8	CD8 TEMRA
69	gdT	Vd2 gdT
7	CD4	CD4 TCM
70	CD4	CD4 TEM
71	CD4	CD4 naive
72	CD4	CD4 TCM
73	CD8	CD8 TEMRA
74	NK	CD56dim NK
75	gdT	Vd2 gdT
76	NK	CD56dim NK
77	MAIT	MAIT
78	CD8	CD8 TEM
79	CD4	CD4 TCM
8	CD8	CD8 TEMRA
81	NK	CD56dim NK
82	CD8	CD8 TEM
83	CD8	CD8 naive
84	CD8	CD8 TEMRA
85	gdT	Vd1 gdT
9	CD4	CD4 TCM
80	CD4	CD4 TCM
