GeneName	GeneID	Category
DDX58	NM_014314.4	ViralMim
DHX58	NM_024119.3	ViralMim
IFI16	NM_001364867.2	ViralMim
IFI27	NM_001288954.2	ViralMim
IFI30	NM_006332.5	ViralMim
IFI6	NM_002038.4	ViralMim
IFIH1	NM_022168.4	ViralMim
IFIT1	NM_001548.5	ViralMim
IFIT2	NM_001547.5	ViralMim
IFITM1	NM_003641.4	ViralMim
IFITM3	NM_021034.3	ViralMim
IRF7	NM_001572.5	ViralMim
IRF9	NM_006084.5	ViralMim
ISG15	NM_005101.4	ViralMim
ISG20	NM_002201.6	ViralMim
MX1	NM_002462.5	ViralMim
MX2	NM_002463.2	ViralMim
OAS1	NM_016816.4	ViralMim
OAS2	NM_002535.3	ViralMim
OASL	NM_003733.3	ViralMim
STAT1	NM_007315.3	ViralMim
IFI35	NM_001330230.2	ViralMim
IFIT3	NM_001549.6	ViralMim
OAS3	NM_006187.4	ViralMim
NFKBIA	NM_020529.2	ViralMim
NMI	NM_004688.3	ViralMim
B2M	NM_004048.3	ViralMim
STING1	NM_198282.4	ViralMim
